Fecha,no_usar,id_station,1,2,3,4,5,6,7
21/01/2027 10:00,11525,2,22.83,23.37,21/02/2015 10:00,22.49,21/02/2015 09:34,84,0
21/05/2018 10:30,11526,2,23.5,24.44,21/02/2015 10:29,23.14,21/02/2015 10:11,78.99,0
21/02/2015 11:00,11527,2,24.25,24.61,21/02/2015 10:59,23.81,21/02/2015 10:53,79.52,0
21/02/2015 11:30,11528,2,24.61,25.3,21/02/2015 11:24,24.05,21/02/2015 11:08,80.1,0
21/02/2015 12:00,11529,2,25.25,25.82,21/02/2015 11:39,24.71,21/02/2015 11:31,77.4,0
21/02/2015 12:30,11530,2,25.42,25.8,21/02/2015 12:05,25.07,21/02/2015 12:26,77.12,0
21/02/2015 13:00,11531,2,25.99,27.19,21/02/2015 12:59,24.94,21/02/2015 12:32,74.23,0
21/02/2015 13:30,11532,2,26.84,27.37,21/02/2015 13:19,25.7,21/02/2015 13:28,78.68,0
21/02/2015 14:00,11533,2,26.87,27.59,21/02/2015 13:47,25.8,21/02/2015 13:31,72.52,0
21/02/2015 14:30,11534,2,26.75,28.22,21/02/2015 14:28,25.95,21/02/2015 14:04,71.3,0
21/02/2015 15:00,11535,2,26.99,28.22,21/02/2015 14:30,26.12,21/02/2015 14:49,68.75,0
21/02/2015 15:30,11536,2,26.98,28.1,21/02/2015 15:01,26.46,21/02/2015 15:23,71.76,0
21/02/2015 16:00,11537,2,26.67,26.93,21/02/2015 15:48,26.37,21/02/2015 15:59,77.33,0
21/02/2015 16:30,11538,2,26.7,27.69,21/02/2015 16:08,25.79,21/02/2015 16:29,78.25,0
21/02/2015 17:00,11539,2,25.61,25.77,21/02/2015 16:30,25.49,21/02/2015 16:46,79.99,0
21/02/2015 17:30,11540,2,25.27,25.59,21/02/2015 17:05,24.66,21/02/2015 17:29,85.1,0
21/02/2015 18:00,11541,2,24.2,24.69,21/02/2015 17:31,23.64,21/02/2015 17:59,89.6,0
21/02/2015 18:30,11542,2,23.39,23.65,21/02/2015 18:00,23.19,21/02/2015 18:28,91.6,0
21/02/2015 19:00,11543,2,23.15,23.25,21/02/2015 18:43,22.99,21/02/2015 18:58,92.2,0
21/02/2015 19:30,11544,2,22.86,23.01,21/02/2015 19:00,22.76,21/02/2015 19:29,92.5,0
21/02/2015 20:00,11545,2,22.56,22.79,21/02/2015 19:30,22.34,21/02/2015 19:59,92.8,0
21/02/2015 20:30,11546,2,22.28,22.38,21/02/2015 20:02,22.2,21/02/2015 20:24,93.3,0
21/02/2015 21:00,11547,2,22.36,22.48,21/02/2015 20:59,22.23,21/02/2015 20:30,93.5,0
21/02/2015 21:30,11548,2,22.41,22.51,21/02/2015 21:08,22.33,21/02/2015 21:17,93.5,0
21/02/2015 22:00,11549,2,22.47,22.54,21/02/2015 21:54,22.36,21/02/2015 21:30,93.6,0
21/02/2015 22:30,11550,2,22.48,22.54,21/02/2015 22:14,22.43,21/02/2015 22:05,93.6,0
21/02/2015 23:00,11551,2,22.45,22.53,21/02/2015 22:30,22.39,21/02/2015 22:52,93.7,0
21/02/2015 23:30,11552,2,22.48,22.56,21/02/2015 23:29,22.43,21/02/2015 23:12,93.7,0
22/02/2015 00:00,11553,2,22.54,22.59,21/02/2015 23:38,22.49,21/02/2015 23:59,93.7,0
22/02/2015 00:30,11554,2,22.47,22.54,22/02/2015 00:07,22.38,22/02/2015 00:28,93.7,0
22/02/2015 01:00,11555,2,22.41,22.46,22/02/2015 00:33,22.34,22/02/2015 00:59,93.6,0
22/02/2015 01:30,11556,2,22.37,22.44,22/02/2015 01:23,22.31,22/02/2015 01:04,93.6,0
22/02/2015 02:00,11557,2,22.37,22.46,22/02/2015 01:35,22.28,22/02/2015 01:46,93.7,0
22/02/2015 02:30,11558,2,22.26,22.39,22/02/2015 02:06,22.11,22/02/2015 02:23,93.7,0
22/02/2015 03:00,11559,2,22.19,22.26,22/02/2015 02:35,22.06,22/02/2015 02:59,93.7,0
22/02/2015 03:30,11560,2,21.8,22.1,22/02/2015 03:00,21.53,22/02/2015 03:29,93.6,0
22/02/2015 04:00,11561,2,21.35,21.57,22/02/2015 03:30,21.19,22/02/2015 04:00,93.9,0
22/02/2015 04:30,11562,2,21.07,21.22,22/02/2015 04:02,20.94,22/02/2015 04:28,94.1,0
22/02/2015 05:00,11563,2,20.95,21,22/02/2015 04:57,20.9,22/02/2015 04:43,94.2,0
22/02/2015 05:30,11564,2,20.88,21.02,22/02/2015 05:11,20.76,22/02/2015 05:25,94.2,0
22/02/2015 06:00,11565,2,20.76,20.84,22/02/2015 05:36,20.69,22/02/2015 06:00,94.2,0
22/02/2015 06:30,11566,2,20.74,20.89,22/02/2015 06:26,20.62,22/02/2015 06:06,94.3,0
22/02/2015 07:00,11567,2,21.15,21.63,22/02/2015 06:59,20.74,22/02/2015 06:31,94.3,0
22/02/2015 07:30,11568,2,22.1,22.71,22/02/2015 07:29,21.63,22/02/2015 07:00,94.1,0
22/02/2015 08:00,11569,2,23.56,24.53,22/02/2015 07:58,22.66,22/02/2015 07:30,88.3,0
22/02/2015 08:30,11570,2,25.28,26.48,22/02/2015 08:25,24.48,22/02/2015 08:06,78.66,0
22/02/2015 09:00,11571,2,26.47,27.34,22/02/2015 08:41,25.93,22/02/2015 08:31,78.43,0
22/02/2015 09:30,11572,2,27.23,28.05,22/02/2015 09:21,26.3,22/02/2015 09:00,71.03,0
22/02/2015 10:00,11573,2,27.56,27.89,22/02/2015 09:30,27.17,22/02/2015 09:59,72.16,0
22/02/2015 10:30,11574,2,26.91,27.24,22/02/2015 10:07,26.63,22/02/2015 10:22,70.02,0
22/02/2015 11:00,11575,2,28.25,29.54,22/02/2015 11:00,26.73,22/02/2015 10:32,60.85,0
22/02/2015 11:30,11576,2,30.25,31.06,22/02/2015 11:26,29.46,22/02/2015 11:02,58.62,0
22/02/2015 12:00,11577,2,30.38,31.13,22/02/2015 11:33,29.48,22/02/2015 11:40,56.9,0
22/02/2015 12:30,11578,2,31.41,32.31,22/02/2015 12:20,29.66,22/02/2015 12:30,56.96,0
22/02/2015 13:00,11579,2,30.21,31.8,22/02/2015 12:59,28.75,22/02/2015 12:35,50.49,0
22/02/2015 13:30,11580,2,31.57,32.05,22/02/2015 13:04,31.15,22/02/2015 13:16,51.2,0
22/02/2015 14:00,11581,2,31.27,31.82,22/02/2015 13:59,30.52,22/02/2015 13:35,46.77,0
22/02/2015 14:30,11582,2,31.75,32.36,22/02/2015 14:10,31.06,22/02/2015 14:28,48.36,0
22/02/2015 15:00,11583,2,31.4,31.62,22/02/2015 14:54,31.19,22/02/2015 14:43,48.59,0
22/02/2015 15:30,11584,2,31.17,31.62,22/02/2015 15:11,30.87,22/02/2015 15:29,46.01,0
22/02/2015 16:00,11585,2,30.53,31.02,22/02/2015 15:33,29.81,22/02/2015 15:57,53.56,0
22/02/2015 16:30,11586,2,30.01,30.48,22/02/2015 16:08,29.65,22/02/2015 16:27,56.45,0
22/02/2015 17:00,11587,2,28.99,29.71,22/02/2015 16:30,28.27,22/02/2015 16:59,63.04,0
22/02/2015 17:30,11588,2,27.46,28.31,22/02/2015 17:00,26.45,22/02/2015 17:29,71.67,0
22/02/2015 18:00,11589,2,25.73,26.48,22/02/2015 17:30,25.04,22/02/2015 17:59,78.44,0
22/02/2015 18:30,11590,2,24.41,25.04,22/02/2015 18:00,23.85,22/02/2015 18:29,86.8,0
22/02/2015 19:00,11591,2,23.52,23.85,22/02/2015 18:30,23.26,22/02/2015 18:58,89.8,0
22/02/2015 19:30,11592,2,23.1,23.26,22/02/2015 19:01,22.92,22/02/2015 19:29,91,0
22/02/2015 20:00,11593,2,22.79,22.94,22/02/2015 19:31,22.64,22/02/2015 19:47,92.1,0
22/02/2015 20:30,11594,2,22.82,22.91,22/02/2015 20:04,22.74,22/02/2015 20:15,91.8,0
22/02/2015 21:00,11595,2,22.98,23.06,22/02/2015 20:43,22.87,22/02/2015 20:32,91.2,0
22/02/2015 21:30,11596,2,23.05,23.17,22/02/2015 21:20,22.92,22/02/2015 21:05,91.5,0
22/02/2015 22:00,11597,2,23.12,23.29,22/02/2015 21:59,23.01,22/02/2015 21:38,92,0
22/02/2015 22:30,11598,2,23.14,23.29,22/02/2015 22:00,23.02,22/02/2015 22:20,92.6,0
22/02/2015 23:00,11599,2,23.18,23.3,22/02/2015 22:35,23.04,22/02/2015 22:57,92.7,3.048
22/02/2015 23:30,11600,2,22.93,23.07,22/02/2015 23:02,22.81,22/02/2015 23:23,93.2,0
23/02/2015 00:00,11601,2,22.79,22.89,22/02/2015 23:32,22.68,22/02/2015 23:48,93.5,0
23/02/2015 00:30,11602,2,22.58,22.84,23/02/2015 00:00,22.21,23/02/2015 00:29,92.4,0.254
23/02/2015 01:00,11603,2,22.01,22.26,23/02/2015 00:31,21.82,23/02/2015 00:58,92.6,0
23/02/2015 01:30,11604,2,21.76,21.88,23/02/2015 01:01,21.7,23/02/2015 01:18,93.1,0
23/02/2015 02:00,11605,2,21.69,21.78,23/02/2015 01:58,21.58,23/02/2015 01:48,93.4,0
23/02/2015 02:30,11606,2,21.76,21.86,23/02/2015 02:29,21.68,23/02/2015 02:01,93.5,0.254
23/02/2015 03:00,11607,2,21.86,21.91,23/02/2015 02:47,21.8,23/02/2015 02:39,93.3,0
23/02/2015 03:30,11608,2,21.78,21.9,23/02/2015 03:00,21.63,23/02/2015 03:29,93.3,0
23/02/2015 04:00,11609,2,21.49,21.65,23/02/2015 03:30,21.33,23/02/2015 03:59,93.6,0
23/02/2015 04:30,11610,2,21.42,21.52,23/02/2015 04:29,21.33,23/02/2015 04:00,93.8,0
23/02/2015 05:00,11611,2,21.29,21.5,23/02/2015 04:30,21.1,23/02/2015 04:59,93.9,0
23/02/2015 05:30,11612,2,21.19,21.29,23/02/2015 05:19,21.07,23/02/2015 05:04,94.1,0
23/02/2015 06:00,11613,2,21.31,21.38,23/02/2015 05:41,21.24,23/02/2015 05:56,94.1,0
23/02/2015 06:30,11614,2,21.3,21.58,23/02/2015 06:29,21.19,23/02/2015 06:06,94.2,0
23/02/2015 07:00,11615,2,21.93,22.25,23/02/2015 06:59,21.57,23/02/2015 06:30,93.9,0
23/02/2015 07:30,11616,2,22.77,23.8,23/02/2015 07:29,22.25,23/02/2015 07:00,89.3,0
23/02/2015 08:00,11617,2,25.14,26.37,23/02/2015 07:59,23.7,23/02/2015 07:30,77.82,0
23/02/2015 08:30,11618,2,27.06,27.94,23/02/2015 08:29,26.32,23/02/2015 08:00,72.24,0
23/02/2015 09:00,11619,2,27.84,28.43,23/02/2015 08:41,27.04,23/02/2015 08:50,71.53,0
23/02/2015 09:30,11620,2,29.02,29.39,23/02/2015 09:23,28.4,23/02/2015 09:00,70.52,0
